Case	Constitutional Challenge Succeeded	Charter Right	Federal Government	Provincial Government	Criminal	International	Assenting Justices	Dissenting Justices	Tag1	Tag2
REFERENCE RE SECURITIES ACT	1	0	1	1	0	0	McLachlin(Beverley);Binnie(William Ian Corneil);LeBel(Louis);Deschamps(Marie);Fish(Morris J.);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	-	Provincial Rights	Jurisdiction
R. v. Chehil	0	1	0	0	1	0	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Search	Drugs
R v. Aucoin	0	1	0	0	1	0	Deschamps(Marie);Abella(Rosalie Silberman);Rothstein(Marshall);Moldaver(Michael J.);Karakatsanis(Andromache)	LeBel(Louis);Fish(Morris J.)	Search	Drugs
R. v. Cole	1	1	0	0	1	0	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Rothstein(Marshall);Cromwell(Thomas Albert);Moldaver(Michael J.)	Abella(Rosalie Silberman)	Search	Workplace
R. v. Anderson	0	0	0	0	1	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Cromwell(Thomas Albert);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Justice System	Status in Sentencing
R. v. MacKenzie	0	1	0	0	1	0	Abella(Rosalie Silberman);Rothstein(Marshall);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Cromwell(Thomas Albert)	Search	Drugs
R. v. Khawaja	0	1	0	0	1	0	McLachlin(Beverley);LeBel(Louis);Fish(Morris J.);Abella(Rosalie Silberman);Rothstein(Marshall);Cromwell(Thomas Albert);Karakatsanis(Andromache)	-	Freedom of Expression	Terrorism
R. v. Mian	1	0	0	0	1	0	McLachlin(Beverley);LeBel(Louis);Abella(Rosalie Silberman);Rothstein(Marshall);Moldaver(Michael J.);Karakatsanis(Andromache);Wagner(Richard)	-	Justice System	Appeals
R. v. Nedelcu	0	1	0	0	1	0	McLachlin(Beverley);Deschamps(Marie);Abella(Rosalie Silberman);Rothstein(Marshall);Moldaver(Michael J.);Karakatsanis(Andromache)	LeBel(Louis);Fish(Morris J.);Cromwell(Thomas Albert)	Justice System	Self-incrimination
S.L. v. Commission scolaire des Chênes	0	1	0	0	0	0	McLachlin(Beverley);Binnie(William Ian Corneil);Deschamps(Marie);Abella(Rosalie Silberman);Charron(Louise);Rothstein(Marshall);Cromwell(Thomas Albert)	LeBel(Louis);Fish(Morris J.)	Freedom of Religion	Ethics Education
